M_glc__D_e,M_o2_e,objective
-1.428571428571428492e-01,-8.571428571428570953e-01,0.000000000000000000e+00
-1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-5.881193412104297469e-01,-8.072924293236184434e-01,4.893438515993047550e-02
-5.845829345897375351e-01,-8.098622824752732541e-01,4.884542977998524577e-02
-4.885767158039865943e-01,-8.713062066765725477e-01,4.602485177675407629e-02
-5.895272661368676781e-01,-8.062634694253989487e-01,4.895733194639496910e-02
-9.995655043622122538e-01,0.000000000000000000e+00,2.947545570667574333e-02
-9.995473609257430336e-01,-4.721576505078306334e-03,2.971161358272459904e-02
-9.973150684641309827e-01,-6.561326614980671212e-02,3.252004796337672199e-02
-4.770021859781751195e-01,-8.777159687410596156e-01,4.564638856454970167e-02
-4.768948323696146629e-01,-8.777747611265761529e-01,4.563756773031533293e-02
-8.581446938311106942e-01,-5.112940370881590146e-01,4.654129443409819183e-02
